environment,model_seed,family,variable,off_representation,off_mode,on_representation,on_mode,off_r2,off_r2_ci_low,off_r2_ci_high,on_r2,on_r2_ci_low,on_r2_ci_high,on_minus_off_r2,on_minus_off_r2_ci_low,on_minus_off_r2_ci_high,bootstrap_unit,interval
umaze,0,dino,acceleration,dino/4/pooled_patches,second_delta,dino/4/pooled_patches,second_delta,0.8959962207353043,0.8818272571380973,0.9074304874023252,0.8959962207353043,0.8818272571380973,0.9074304874023252,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
umaze,0,dino,position,dino/4/pooled_patches,frame,dino/4/pooled_patches,frame,0.997196457926148,0.9969652664289123,0.9973977880020121,0.997196457926148,0.9969652664289123,0.9973977880020121,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
umaze,0,dino,velocity,dino/4/pooled_patches,delta,dino/4/pooled_patches,delta,0.9664390983046003,0.962884643190477,0.9694533432827135,0.9664390983046003,0.962884643190477,0.9694533432827135,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
umaze,0,predictor,acceleration,predictor/1/pooled_visual,frame,predictor/1/pooled_visual,frame,0.12396646696716696,0.09391151668294878,0.15050334076407787,0.10313294260815475,0.07685322824359647,0.12547451298410278,-0.0208335243590122,-0.05207828854369494,0.011988976141474485,paired_complete_trajectory_window,95_percentile
umaze,0,predictor,position,predictor/0/pooled_visual,frame,predictor/0/pooled_visual,frame,0.6930846874774071,0.6708411413949988,0.710413298219541,0.6170468206177576,0.5849726687280679,0.6441175667667307,-0.07603786685964953,-0.10593683053980418,-0.0458934915156858,paired_complete_trajectory_window,95_percentile
umaze,0,predictor,velocity,predictor/4/pooled_visual,frame,predictor/4/pooled_visual,frame,0.29880943770452184,0.26356381168357035,0.3321040408898444,0.17729360937523553,0.1464218993685837,0.20422902324120432,-0.12151582832928631,-0.15997241021875,-0.0851038062674052,paired_complete_trajectory_window,95_percentile
wall,0,dino,acceleration,dino/6/pooled_patches,second_delta,dino/6/pooled_patches,second_delta,0.5074751478295065,0.45128323614281585,0.5554655724450123,0.5074751478295065,0.45128323614281585,0.5554655724450123,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
wall,0,dino,position,dino/6/cls,frame,dino/6/cls,frame,0.8344960759737818,0.8088331150869289,0.8575082281155961,0.8344960759737818,0.8088331150869289,0.8575082281155961,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
wall,0,dino,velocity,dino/4/pooled_patches,delta,dino/4/pooled_patches,delta,0.6443657741016406,0.6033272106844585,0.6798279467360586,0.6443657741016406,0.6033272106844585,0.6798279467360586,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
wall,0,predictor,acceleration,predictor/0/pooled_visual,frame,predictor/0/pooled_visual,frame,0.05840630759638976,0.03190066589370521,0.07941028275361656,0.0797229994753984,0.05441777857971666,0.10304653615580116,0.021316691879008642,3.5967740723971997e-05,0.043429893464161734,paired_complete_trajectory_window,95_percentile
wall,0,predictor,position,predictor/4/pooled_visual,frame,predictor/4/pooled_visual,frame,0.7400372347109776,0.7171059218816653,0.7598766380936198,0.8658588775698244,0.8508586574878153,0.8795478264475295,0.12582164285884678,0.11056640067027207,0.14348582368810153,paired_complete_trajectory_window,95_percentile
wall,0,predictor,velocity,predictor/2/pooled_visual,frame,predictor/2/pooled_visual,frame,0.02851688888272086,0.0075994859700348255,0.04905571872438085,0.047935194815876936,0.0265522564049248,0.06740673145502939,0.019418305933156077,0.0036565433646099516,0.03577429637361701,paired_complete_trajectory_window,95_percentile
pusht,0,dino,agent_acceleration,dino/8/pooled_patches,second_delta,dino/8/pooled_patches,second_delta,0.5798377193899803,0.560960386217398,0.5975036065179514,0.5798377193899803,0.560960386217398,0.5975036065179514,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
pusht,0,dino,agent_position,dino/9/pooled_patches,frame,dino/9/pooled_patches,frame,0.9286759416645999,0.9240136379389852,0.9325236322149203,0.9286759416645999,0.9240136379389852,0.9325236322149203,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
pusht,0,dino,agent_velocity,dino/8/pooled_patches,delta,dino/8/pooled_patches,delta,0.73352739225404,0.7229288261477336,0.742762390711775,0.73352739225404,0.7229288261477336,0.742762390711775,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
